Variable,Overall,OD,OS,p
Age (years),68.57 ± 9.14,68.71 ± 9.93,68.45 ± 8.46,0.846
Sex (M/F),101/101,47/45,54/56,0.888
AL1 (mm),2.36 ± 0.30,2.33 ± 0.29,2.39 ± 0.30,0.302
AV1 (m/s),0.14 ± 0.02,0.14 ± 0.02,0.13 ± 0.02,0.003
AL2 (mm),2.31 ± 0.58,2.29 ± 0.52,2.33 ± 0.63,0.697
AV2 (m/s),-0.26 ± 0.03,-0.27 ± 0.03,-0.26 ± 0.04,0.763
PD (mm),4.83 ± 0.32,4.87 ± 0.33,4.80 ± 0.31,0.098
HCR (mm),8.06 ± 1.05,8.00 ± 0.96,8.11 ± 1.13,0.462
HCDA (mm),1.06 ± 0.11,1.07 ± 0.11,1.05 ± 0.11,0.124
IOPnc (mmHg),16.52 ± 2.77,16.42 ± 2.67,16.61 ± 2.85,0.447
bIOP (mmHg),14.73 ± 2.59,14.77 ± 2.65,14.69 ± 2.54,0.981
CCT (μm),550.94 ± 31.48,547.29 ± 31.23,553.98 ± 31.52,0.215
SP-A1 (mmHg/mm),114.24 ± 16.59,111.95 ± 16.13,116.16 ± 16.79,0.077
ARTh (μm),563.30 ± 150.41,561.59 ± 156.72,564.73 ± 145.63,0.634
DA Ratio,4.10 ± 0.39,4.18 ± 0.36,4.02 ± 0.40,0.004
IR (mm⁻¹),7.63 ± 1.02,7.76 ± 0.97,7.52 ± 1.06,0.096
CBI,0.03 ± 0.10,0.04 ± 0.12,0.03 ± 0.09,0.478
SSI,1.40 ± 0.25,1.38 ± 0.23,1.43 ± 0.26,0.102
CBiF,6.74 ± 0.46,6.74 ± 0.49,6.75 ± 0.44,0.499
PCT 135° (μm),696.86 ± 48.35,691.90 ± 48.35,701.00 ± 48.19,0.199
Axial Length (mm),23.60 ± 1.43,23.62 ± 1.49,23.59 ± 1.38,0.831
WTW (mm),11.05 ± 0.49,11.03 ± 0.48,11.07 ± 0.51,0.558
CSIA Magnitude (D),0.76 ± 0.47,0.70 ± 0.49,0.80 ± 0.45,0.028
CSIA Meridian (°),57.31 ± 36.64,64.09 ± 35.75,51.65 ± 36.57,<0.001
J0,-0.01 ± 0.55,-0.19 ± 0.63,0.14 ± 0.43,<0.001
J45,0.44 ± 0.54,0.32 ± 0.44,0.54 ± 0.60,<0.001
