Variable,CSIA_mag_r,CSIA_mag_p,CSIA_mag_fdr_p,J0_r,J0_p,J0_fdr_p,J45_r,J45_p,J45_fdr_p
AL1,-0.102,0.149,0.723,-0.008,0.907,0.953,0.105,0.138,0.323
AV1,-0.031,0.658,0.970,-0.026,0.718,0.953,-0.126,0.074,0.222
AL2,-0.064,0.365,0.749,-0.113,0.111,0.698,-0.008,0.915,0.915
AV2,0.016,0.820,0.970,-0.118,0.095,0.698,0.018,0.799,0.839
PD,-0.016,0.823,0.970,0.028,0.695,0.953,-0.049,0.489,0.608
HCR,0.007,0.921,0.970,-0.103,0.144,0.698,0.060,0.400,0.600
HCDA,0.111,0.115,0.723,0.098,0.166,0.698,-0.021,0.765,0.839
IOPnc,0.007,0.925,0.970,-0.039,0.582,0.953,0.065,0.355,0.573
bIOP,-0.057,0.418,0.749,-0.041,0.566,0.953,0.023,0.751,0.839
CCT,0.076,0.285,0.748,0.011,0.881,0.953,0.053,0.453,0.608
SPA1,0.119,0.091,0.723,-0.019,0.786,0.953,0.110,0.120,0.314
ARTh,-0.010,0.883,0.970,0.000,0.996,0.996,0.097,0.171,0.359
DA_Ratio,-0.056,0.428,0.749,-0.074,0.293,0.879,-0.143*,0.042,0.220
IR,-0.089,0.207,0.723,-0.019,0.791,0.953,-0.151*,0.032,0.220
CBI,-0.003,0.970,0.970,0.046,0.515,0.953,-0.049,0.492,0.608
SSI,0.094,0.185,0.723,-0.011,0.878,0.953,0.146*,0.038,0.220
CBiF,0.078,0.270,0.748,0.014,0.840,0.953,0.132,0.061,0.221
PCT135,-0.013,0.851,0.970,0.020,0.778,0.953,0.084,0.233,0.446
AL,0.068,0.335,0.749,0.144*,0.041,0.698,0.078,0.269,0.471
WTW,-0.034,0.631,0.970,0.086,0.225,0.786,-0.131,0.063,0.221
age,0.209**,0.003,0.059,0.014,0.846,0.953,0.162*,0.022,0.220
