Variable,CSIA_mag_Bu_r,CSIA_mag_Bu_p,CSIA_mag_Eye_r,CSIA_mag_Eye_p,J0_Bu_r,J0_Bu_p,J0_Eye_r,J0_Eye_p,J45_Bu_r,J45_Bu_p,J45_Eye_r,J45_Eye_p
AL1,-0.134,0.058,-0.144*,0.041,-0.001,0.986,-0.026,0.717,0.075,0.288,0.061,0.392
AV1,-0.030,0.670,0.003,0.968,-0.094,0.185,-0.006,0.938,-0.106,0.134,-0.047,0.503
AL2,-0.066,0.348,-0.071,0.317,-0.109,0.122,-0.126,0.075,-0.016,0.822,-0.024,0.737
AV2,0.052,0.462,0.047,0.504,-0.117,0.098,-0.137,0.052,-0.002,0.978,-0.012,0.867
PD,-0.012,0.861,0.003,0.964,0.001,0.985,0.046,0.519,0.011,0.873,0.042,0.557
HCR,0.009,0.900,0.007,0.920,-0.106,0.133,-0.116,0.100,0.054,0.443,0.052,0.462
HCDA,0.123,0.080,0.141*,0.046,0.105,0.139,0.153*,0.030,0.006,0.936,0.035,0.626
IOPnc,0.026,0.710,0.018,0.796,-0.024,0.736,-0.048,0.496,-0.031,0.664,-0.047,0.505
bIOP,0.005,0.938,0.081,0.255,-0.003,0.961,-0.084,0.234,-0.006,0.937,-0.021,0.762
CCT,-0.003,0.962,-0.024,0.739,0.010,0.883,0.021,0.772,-0.025,0.728,-0.045,0.529
SPA1,0.112,0.112,0.101,0.154,-0.002,0.972,-0.039,0.580,0.048,0.500,0.024,0.731
ARTh,-0.067,0.342,-0.065,0.359,-0.008,0.911,-0.001,0.993,0.070,0.323,0.077,0.278
DA_Ratio,-0.037,0.598,-0.012,0.860,-0.143*,0.043,-0.080,0.256,-0.124,0.078,-0.081,0.251
IR,-0.103,0.146,-0.093,0.189,-0.054,0.446,-0.026,0.715,-0.141*,0.045,-0.124,0.078
CBI,-0.009,0.899,-0.008,0.906,0.046,0.512,0.050,0.476,-0.053,0.452,-0.053,0.453
SSI,0.035,0.619,0.022,0.752,0.002,0.979,-0.035,0.619,0.079,0.263,0.056,0.425
CBiF,0.030,0.667,0.035,0.621,0.011,0.874,0.024,0.735,0.104,0.141,0.115,0.104
PCT135,-0.049,0.488,-0.054,0.445,0.018,0.796,0.006,0.930,0.082,0.245,0.075,0.288
AL,0.070,0.324,0.073,0.300,0.148*,0.036,0.163*,0.020,0.075,0.287,0.083,0.241
WTW,-0.018,0.798,-0.026,0.716,0.087,0.220,0.070,0.323,-0.117,0.097,-0.134,0.057
