target,predictor,coefficient,SE,p
CSIA_mag,AL1,-0.13912505876572157,0.11057849678557996,0.20833514933195862
CSIA_mag,AV1,-0.9589498619096763,1.5195505955467101,0.5279917146998854
CSIA_mag,AL2,-0.048493725841565,0.05657564589197732,0.39136286086839533
CSIA_mag,AV2,0.14163708762193605,0.9521759578796295,0.8817501484171588
CSIA_mag,PD,-0.022053679144749934,0.10462775677424067,0.8330571513430733
CSIA_mag,HCR,0.004908063224165095,0.031278066640745436,0.8753101901844864
CSIA_mag,HCDA,0.46098429605440766,0.30365221824772354,0.12898100385941352
CSIA_mag,IOPnc,0.00230446008104804,0.012008838394277757,0.8478228861415131
CSIA_mag,bIOP,-0.008762628722446887,0.012816022699203226,0.49414914913202523
CSIA_mag,CCT,0.0011235644186336588,0.0010520444013620931,0.2855286593381592
CSIA_mag,SPA1,0.0036194401988176605,0.001980768402464649,0.06765603348061346
CSIA_mag,ARTh,-8.514994418098264e-06,0.00021993181443371375,0.9691164024973525
CSIA_mag,DA_Ratio,-0.0838760942550504,0.08600593884775123,0.3294431712440361
CSIA_mag,IR,-0.04904164180141282,0.03240330894614876,0.13015870369962595
CSIA_mag,CBI,-0.016487593732618166,0.32056865872704343,0.9589810215279451
CSIA_mag,SSI,0.1727483067157566,0.13328852194466415,0.19495898863419558
CSIA_mag,CBiF,0.09012685925370531,0.07113736888888954,0.2051763369140387
CSIA_mag,PCT135,-0.00020330289387611957,0.0006874662564016871,0.7674379534958721
CSIA_mag,AL,0.02763614064057999,0.02337388637894608,0.23706641126222872
CSIA_mag,WTW,-0.048714125120185754,0.06723077548876509,0.46870927750511904
CSIA_mag,age,0.01022576656941238,0.003598529229173258,0.004488049923004502
CSIA_mag,eye_binary,0.09521333269208238,0.06520665468166327,0.14424111755842156
J0,AL1,-0.015226527774321515,0.13303623643777127,0.9088779190989136
J0,AV1,-0.6429686056204736,1.809990247124794,0.7224149035914631
J0,AL2,-0.1071684829959763,0.06727747430062077,0.11117530889679467
J0,AV2,-1.8642801493525905,1.119621876751543,0.09589320540327669
J0,PD,0.047971327562178694,0.12236495121554225,0.6950324504133131
J0,HCR,-0.05407809856808731,0.036878966421212835,0.14254833732399777
J0,HCDA,0.4971505738850149,0.35948813327132023,0.1666832172487347
J0,IOPnc,-0.007793181200902091,0.014146005663281358,0.5816951189985727
J0,bIOP,-0.008669519524494549,0.015121420487694614,0.5664232679306331
J0,CCT,0.00018657762462626315,0.0012409249591176508,0.8804855898585394
J0,SPA1,-0.000640974659216334,0.0023887438331084213,0.7884443408370452
J0,ARTh,1.3688152948738684e-06,0.00026032702195014843,0.9958046938435449
J0,DA_Ratio,-0.10575507268386597,0.10176735336409497,0.29871886253003255
J0,IR,-0.010137877013165179,0.03919607299803562,0.7959089878196828
J0,CBI,0.24748553155785158,0.37952759110766493,0.5143441605649415
J0,SSI,-0.02418527919313794,0.1579234700474763,0.8782834832577497
J0,CBiF,0.01708553385434895,0.08484787024144307,0.8404118678108081
J0,PCT135,0.00022859317965112042,0.0008215558757867585,0.7808248864554681
J0,AL,0.055754219320852345,0.027109211986944392,0.03971969728097039
J0,WTW,0.09595946891881103,0.08023741085241413,0.23171832150346217
J0,age,0.000829615512243329,0.0043044764653304085,0.8471679231034944
J0,eye_binary,0.3262999476705063,0.07537066875624841,1.4960467172749805e-05
J45,AL1,0.19364623435214867,0.12744315217231109,0.1286438629208462
J45,AV1,-3.4654899006510353,1.7770312459015631,0.051157410696080326
J45,AL2,-0.0040936289623775875,0.06588656654055529,0.9504581392307416
J45,AV2,0.3198110959908957,1.102882416372764,0.7718334438100042
J45,PD,-0.08622365384019845,0.12075855118868722,0.47521669102421094
J45,HCR,0.02784941073551905,0.0364851454225628,0.44527961198373855
J45,HCDA,-0.10502705386157503,0.35290987435287374,0.7660061488652543
J45,IOPnc,0.013306918660816541,0.013860023163827893,0.3370081409862896
J45,bIOP,0.0054067646528374175,0.014837168727924255,0.7155542847797105
J45,CCT,0.0008664923464290091,0.0012190971305609483,0.4772294790855427
J45,SPA1,0.00373049361367373,0.0022989872756345514,0.10466034631857987
J45,ARTh,0.0003407657797036075,0.00025343185885542626,0.17875278304236453
J45,DA_Ratio,-0.1995195340818603,0.0980799042622027,0.0419258933607103
J45,IR,-0.0795494744238316,0.03702735075996743,0.03168217703654997
J45,CBI,-0.2615286422307555,0.37095198200011537,0.48079766259018253
J45,SSI,0.3194307594705948,0.15314048781638206,0.036990631102169845
J45,CBiF,0.15206356758266076,0.08183676289058923,0.06315016804462398
J45,PCT135,0.0008701140895481975,0.0008183147699428881,0.28764592813927736
J45,AL,0.032720669638771877,0.02711855165216932,0.2275943934027006
J45,WTW,-0.14096740499107424,0.07684730827431988,0.06659714374585926
J45,age,0.00964074457539819,0.0041759013969280825,0.02096234849853482
J45,eye_binary,0.21886202178447453,0.07532302008617478,0.0036649598352490836
