group,centroid_mag,centroid_meridian,mean_J0,mean_J45,sd_J0,sd_J45,n
Overall,0.4412028430793635,45.70323195999678,-0.01082930657932736,0.4410699206025326,0.5525692012058487,0.5398191633287823,202
OD,0.3715957188753567,60.24269167138072,-0.1885173965561165,0.3202258101437126,0.6317362069348466,0.4383394076591496,92
OS,0.5593740361621793,37.87020258015246,0.13778255049216898,0.5421395402590001,0.42534934187719886,0.5952435231481965,110
Age_young,0.3204433182329931,43.896220192533995,0.012343364999216825,0.3202054989232187,0.4970030816468798,0.4317065771096539,68
Age_middle,0.5331871894522959,45.33212656879858,-0.006181316193487749,0.533151357802036,0.48343567487647304,0.5039327557977784,68
Age_old,0.4723789094210909,47.39789247639611,-0.03949301890626822,0.4707251167332463,0.6687679382403767,0.6497694213043541,66
OD_young,0.2852959343516843,61.18060121271007,-0.15270605804997792,0.24098678385429637,0.5979693926371301,0.35540286616295674,28
OD_middle,0.35368876518587583,52.62114254379581,-0.09298523717418447,0.34124696084561734,0.5559359213009086,0.39089800729869145,33
OD_old,0.4904228969507621,65.56293049905582,-0.32255864616178215,0.36941918959341574,0.7275254359207609,0.5452650512128683,31
OS_young,0.39682761534520516,35.600454987194915,0.12787796113365313,0.37565859947146424,0.3788918432473895,0.474414807905757,40
OS_middle,0.7180870580392336,41.97585626505388,0.07566238073116915,0.7140897892180879,0.3942754133474834,0.5358812135832638,35
OS_old,0.5989346000786773,34.67484946811224,0.21122225094861552,0.5604532236285248,0.5002511878944402,0.7260623250651965,35
