Variable,Flattening (n=177),Steepening (n=25),Test,p,Bonferroni p,Cohen's d
AL1 (mm),2.38 ± 0.29,2.23 ± 0.30,Mann-Whitney,0.020482781803993023,0.4301384178838535,0.5128927862219237
AV1 (m/s),0.14 ± 0.02,0.14 ± 0.02,Mann-Whitney,0.6608983640810804,1.0,-0.101064004248599
AL2 (mm),2.32 ± 0.58,2.26 ± 0.57,Mann-Whitney,0.7065443330914359,1.0,0.0893344602209089
AV2 (m/s),-0.26 ± 0.03,-0.26 ± 0.04,Mann-Whitney,0.7933123943658436,1.0,-0.08750493346767853
PD (mm),4.84 ± 0.32,4.80 ± 0.30,Mann-Whitney,0.7546386911399809,1.0,0.10825171934433411
HCR (mm),8.08 ± 1.07,7.94 ± 0.96,Mann-Whitney,0.5259837544414618,1.0,0.13570286534385645
HCDA (mm),1.06 ± 0.11,1.07 ± 0.11,t-test,0.5713381089713968,1.0,-0.12114779859360235
IOPnc (mmHg),16.53 ± 2.70,16.48 ± 3.23,Mann-Whitney,0.5737648201874774,1.0,0.018421634063421947
bIOP (mmHg),14.72 ± 2.54,14.75 ± 2.99,Mann-Whitney,0.7366356675627624,1.0,-0.011330642926897812
CCT (μm),550.99 ± 32.01,550.52 ± 28.08,Mann-Whitney,0.7311433439562496,1.0,0.015028582177887167
SP-A1,114.25 ± 16.34,114.24 ± 18.61,Mann-Whitney,0.9635592467686889,1.0,0.0003355406995498412
ARTh (μm),570.79 ± 155.05,510.27 ± 99.15,Mann-Whitney,0.044019581614613716,0.9244112139068881,0.4049623239710104
DA Ratio,4.09 ± 0.38,4.13 ± 0.43,t-test,0.5999088163388732,1.0,-0.11224921079337469
IR (mm⁻¹),7.62 ± 0.99,7.73 ± 1.23,t-test,0.594223350648084,1.0,-0.11400400528556597
CBI,0.03 ± 0.10,0.04 ± 0.10,Mann-Whitney,0.9750530973404437,1.0,-0.11837850296152018
SSI,1.41 ± 0.25,1.38 ± 0.25,Mann-Whitney,0.41218778301205383,1.0,0.12532126327232687
CBiF,6.76 ± 0.48,6.63 ± 0.35,Mann-Whitney,0.3968622140267559,1.0,0.2874201544405005
PCT 135° (μm),696.44 ± 47.68,699.84 ± 53.84,Mann-Whitney,0.8192895875953184,1.0,-0.07026096877264265
AL (mm),23.65 ± 1.48,23.29 ± 0.97,Mann-Whitney,0.19632564433612998,1.0,0.2496283964258867
WTW (mm),11.05 ± 0.49,11.08 ± 0.54,t-test,0.7831738889740433,1.0,-0.05887464781954316
Age (years),68.86 ± 9.03,66.52 ± 9.83,Mann-Whitney,0.2861260618689382,1.0,0.2562361132887464
