feature,coefficient,abs_coefficient
PD,-0.5073666975168142,0.5073666975168142
AL1,-0.4493225427913507,0.4493225427913507
ARTh,-0.42126691522174714,0.42126691522174714
HCDA,0.39850410268866227,0.39850410268866227
IR,-0.2936632861018748,0.2936632861018748
WTW,0.2777901850115579,0.2777901850115579
SSI,-0.26604231867669564,0.26604231867669564
bIOP,-0.2211023987679897,0.2211023987679897
age,-0.21408878073570767,0.21408878073570767
CCT,0.18224111496935916,0.18224111496935916
SPA1,0.16464581213147653,0.16464581213147653
AL,-0.15376208680141942,0.15376208680141942
eye_binary,-0.1329459505544339,0.1329459505544339
IOPnc,0.12949827987709311,0.12949827987709311
PCT135,-0.12257521493159641,0.12257521493159641
CBiF,-0.11814197251659583,0.11814197251659583
DA_Ratio,0.06449787298169828,0.06449787298169828
CBI,0.035481016368287745,0.035481016368287745
AV2,0.028228275933524862,0.028228275933524862
AV1,0.01765973678305371,0.01765973678305371
AL2,0.005211950897730977,0.005211950897730977
HCR,0.004442869714139996,0.004442869714139996
