category,target,R2_mean,R2_std,MAE_mean,MAE_std,n_features
Applanation,Magnitude,-0.10497552179083024,0.16396141434731554,0.3604520422892266,0.05107810874907033,4
Applanation,J0,-0.06336582215194171,0.0710459607237754,0.4099279099948295,0.0781387122033728,4
Applanation,J45,-0.12421158107911978,0.11720089550621354,0.39444770580142413,0.07240037213075053,4
Concavity,Magnitude,-0.08704852443459983,0.1951456104793853,0.3497919860737013,0.054683062623227766,3
Concavity,J0,-0.05643916562988988,0.0736544670997066,0.4052622388249,0.08281731975456069,3
Concavity,J45,-0.10568252662514202,0.10967976548167106,0.391642175850664,0.07212901834661867,3
Pressure,Magnitude,-0.10191118249466304,0.15646415411587866,0.35795552313887846,0.051827037999156646,2
Pressure,J0,-0.053429010474346866,0.05565009479933259,0.4070574893528139,0.0825235807522086,2
Pressure,J45,-0.10564734869702962,0.1175450111413084,0.3912170660058801,0.07246512368088368,2
Thickness,Magnitude,-0.11410689533118515,0.1616023787524702,0.3612187873601379,0.05487337165936593,2
Thickness,J0,-0.04679358817748612,0.05336640438360148,0.405601149477167,0.08165688989906744,2
Thickness,J45,-0.10176413683562488,0.11001939327996683,0.39064554606584195,0.07209059974239485,2
Stiffness indices,Magnitude,-0.10011625880411176,0.1521021178352295,0.35973485571998326,0.05055463714227067,6
Stiffness indices,J0,-0.04679358817748612,0.05336640438360148,0.405601149477167,0.08165688989906744,6
Stiffness indices,J45,-0.11006370240448857,0.10821872123049521,0.3930401759947921,0.07205739199600075,6
Structural,Magnitude,-0.09346177800507688,0.1542304742867821,0.35800294728744075,0.05125336901349866,1
Structural,J0,-0.04679358817748612,0.05336640438360148,0.405601149477167,0.08165688989906744,1
Structural,J45,-0.10614485488969727,0.12348488479866417,0.3892025160925337,0.07068723527646029,1
Biometric,Magnitude,-0.09434101997347603,0.1568456962403863,0.3580323298352118,0.051028308600116194,2
Biometric,J0,-0.06425262996850205,0.060049858704629526,0.409487230103641,0.08161638205356873,2
Biometric,J45,-0.12837888819123788,0.1362133662102902,0.39533354762488765,0.07099364439355693,2
Demographics,Magnitude,-0.06301748331023975,0.1497503802079357,0.3473405008819078,0.05303985612917753,3
Demographics,J0,0.043430279302388734,0.12342119322817167,0.38080405632319747,0.0746871769354329,3
Demographics,J45,-0.046697915307130855,0.16307328573130003,0.37802677919730227,0.0694897069395116,3
All biomech,Magnitude,-0.13450358533656523,0.1600635792527859,0.3658051455152393,0.05306733881995829,20
All biomech,J0,-0.06226154417827353,0.06465710207537372,0.40895277077866204,0.08120161028600087,20
All biomech,J45,-0.13887058235526245,0.13804176503418739,0.39698900049388935,0.07247836144302658,20
All biomech + demo,Magnitude,-0.10874442433741924,0.14407249284126755,0.3608799884911342,0.05159637571424363,23
All biomech + demo,J0,0.01252557596112502,0.10915184134587917,0.3879217357890931,0.07486907816593133,23
All biomech + demo,J45,-0.08857877834681042,0.15256035367746215,0.3872484498308872,0.06648388786028073,23
