dropped_feature,R2_without,delta_R2
age,-0.1317238194186069,-0.022979395081187654
WTW,-0.12050209120837957,-0.011757666870960332
PCT135,-0.11107566239663284,-0.0023312380592136056
AV2,-0.10895899873231822,-0.00021457439489898367
CBiF,-0.10894740957938671,-0.00020298524196747658
HCR,-0.10882373334535596,-7.930900793672035e-05
IOPnc,-0.10874450743482408,-8.309740484602202e-08
PD,-0.10874442022641301,4.111006229878811e-09
sex_binary,-0.10839811997940002,0.0003463043580192171
AV1,-0.10829378524593535,0.0004506390914838926
CCT,-0.1079755016456056,0.0007689226918136394
DA_Ratio,-0.1076427645410187,0.0011016597964005337
AL2,-0.10753958666777622,0.0012048376696430219
bIOP,-0.10687980126970877,0.001864623067710472
eye_binary,-0.10676158590498173,0.001982838432437503
SSI,-0.10646094434533951,0.002283479992079729
AL,-0.10621726243327206,0.002527161904147174
CBI,-0.10614456249197562,0.002599861845443613
ARTh,-0.10537996410401235,0.0033644602334068907
IR,-0.1048305588112524,0.003913865526166835
SPA1,-0.10453240413869587,0.004212020198723368
AL1,-0.1009115723781469,0.007832851959272344
HCDA,-0.09813831810262691,0.010606106234792329
