n_features,features,R2_mean,R2_std,MAE_mean,MAE_std
1,age,-0.06367767280075057,0.1590087423931031,0.3484815138112494,0.05329848557574296
2,"age, HCDA",-0.07553550840716225,0.17737670875247646,0.3492858882838507,0.054024143720403595
3,"age, HCDA, AL2",-0.08151860822669538,0.1754663966029554,0.35123848335882524,0.055260975699672116
4,"age, HCDA, AL2, PCT135",-0.08836710031139944,0.14087805264073935,0.3547134744901294,0.05329843293422603
5,"age, HCDA, AL2, PCT135, AL1",-0.09347045240972755,0.1432125618779058,0.35619485324763467,0.051638800827812255
6,"age, HCDA, AL2, PCT135, AL1, ARTh",-0.09212422321891879,0.14425687564310705,0.356169522735728,0.05171328852904471
7,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary",-0.09090342212127961,0.13430240474629387,0.3562548081613397,0.051525074507717795
8,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary, CCT",-0.10291820698456018,0.1431292633348393,0.35867709719669255,0.05420691095761624
9,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary, CCT, IR",-0.10112873626636887,0.13500872168891997,0.356444793055034,0.053962223647311285
10,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary, CCT, IR, SPA1",-0.09017948295038272,0.1296816194134631,0.3555222688962544,0.0551859326431134
11,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary, CCT, IR, SPA1, AV2",-0.09217863879156964,0.12609032870657275,0.35644751241740785,0.0549682725300401
12,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary, CCT, IR, SPA1, AV2, CBiF",-0.09498053764326073,0.12943604798220942,0.3574552674943209,0.05379983551279245
13,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary, CCT, IR, SPA1, AV2, CBiF, WTW",-0.09580178815741788,0.13343757994054825,0.3580525010854334,0.0533033287969252
14,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary, CCT, IR, SPA1, AV2, CBiF, WTW, bIOP",-0.09525796959223068,0.1320066656942083,0.35793928481346693,0.05319084095186404
15,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary, CCT, IR, SPA1, AV2, CBiF, WTW, bIOP, SSI",-0.10598143035404446,0.15130987276687988,0.35935984616004996,0.051991033334843166
16,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary, CCT, IR, SPA1, AV2, CBiF, WTW, bIOP, SSI, AL",-0.1067582580462544,0.1452216579263819,0.360775265793901,0.05214918336043435
17,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary, CCT, IR, SPA1, AV2, CBiF, WTW, bIOP, SSI, AL, DA_Ratio",-0.10693295740586382,0.143690632541391,0.36049316601397124,0.05176661130186446
18,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary, CCT, IR, SPA1, AV2, CBiF, WTW, bIOP, SSI, AL, DA_Ratio, AV1",-0.10655434405393858,0.14365589761643854,0.3604268964813446,0.051759408781896374
19,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary, CCT, IR, SPA1, AV2, CBiF, WTW, bIOP, SSI, AL, DA_Ratio, AV1, IOPnc",-0.10655430451950547,0.14365590125588684,0.36042690390345217,0.051759406923682354
20,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary, CCT, IR, SPA1, AV2, CBiF, WTW, bIOP, SSI, AL, DA_Ratio, AV1, IOPnc, HCR",-0.10609843476961463,0.143785289068702,0.3603256413448393,0.05167558802961034
21,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary, CCT, IR, SPA1, AV2, CBiF, WTW, bIOP, SSI, AL, DA_Ratio, AV1, IOPnc, HCR, sex_binary",-0.10614499623868824,0.14384696979285588,0.36024168603435436,0.051600474147213485
22,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary, CCT, IR, SPA1, AV2, CBiF, WTW, bIOP, SSI, AL, DA_Ratio, AV1, IOPnc, HCR, sex_binary, CBI",-0.10874546195088847,0.14407274961970912,0.360880230195501,0.05159640660186049
23,"age, HCDA, AL2, PCT135, AL1, ARTh, eye_binary, CCT, IR, SPA1, AV2, CBiF, WTW, bIOP, SSI, AL, DA_Ratio, AV1, IOPnc, HCR, sex_binary, CBI, PD",-0.10874546195088847,0.14407274961970912,0.360880230195501,0.05159640660186049
