train_size,train_R2_mean,train_R2_std,test_R2_mean,test_R2_std
36,0.0,0.0,-0.06398036286600417,0.07503358622103551
54,0.005531954511140358,0.016595863533421074,-0.0679857407404029,0.08119968266886986
72,0.06611820914468994,0.12885564106309316,-0.13788953132347168,0.15955547938698209
90,0.022104242927803962,0.055919937324887016,-0.07654169028412856,0.06717925435926146
108,0.024193077896264237,0.06355858478162091,-0.08725281293000708,0.0738357477375107
126,0.034722318866263105,0.0536489840548006,-0.0875231348612655,0.0778250155129417
144,0.022063149349299892,0.05179360288232871,-0.08943577379129568,0.07772576069578456
162,0.029250606833524796,0.049172899104314556,-0.09163199670356952,0.08743760397891011
181,0.03349317583800739,0.039509252939907265,-0.0998663421945341,0.08639228089122032
